	m1_multipep_001_nat	m1_nopep_001_nat	m1_onexpep_001_nat	m2_multipep_001_nat	m2_nopep_001_nat	m2_onexpep_001_nat	m3_multipep_001_nat	m3_nopep_001_nat	m3_onexpep_001_nat	m4_multipep_001_nat	m4_nopep_001_nat	m4_onexpep_001_nat	m5_multipep_001_nat
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	1	0
1700022A22Rik	1	1	2	0	0	1	0	0	2	2	1	0	1
1700022E09Rik	0	0	0	6	0	0	0	0	0	3	2	1	0
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	72	211	124	203	220	181	120	243	192	251	283	205	126
1700022N22Rik	20	55	36	18	28	20	15	28	25	34	58	43	42
1700023C21Rik	0	0	0	1	0	0	1	1	0	4	1	1	17
1700023F02Rik	0	0	0	1	2	0	0	0	0	0	0	1	2
1700023F06Rik	47	54	77	42	78	61	24	147	102	110	90	39	38
1700023G09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023H06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024B05Rik	3	0	1	1	0	0	0	2	0	6	0	2	3
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	1	0	0
1700024J04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025A08Rik	0	6	3	4	0	0	1	2	1	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	2	1	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	1	0	3	4	1	1	2	0	0	3	1	1	0
1700025F24Rik	0	0	0	0	0	1	0	0	0	0	0	0	0
1700025G04Rik	1314	7621	6901	2156	7951	6423	1105	5308	4956	3712	9563	7846	3257
1700025H01Rik	0	0	0	0	0	0	0	0	0	0	1	0	0
1700025J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	1	0	0
1700025L06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	7	4	4	9	1	2	8	2	4	6	7	3	2
1700025N21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025O08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026D11Rik	15	100	61	26	74	41	19	74	34	27	52	29	16
1700026F02Rik	0	1	0	3	1	0	2	0	2	14	7	3	2
1700026J12Rik	0	0	1	0	0	0	0	0	0	3	2	1	2
